"1624016456206925825 2023-02-10 12:04:30 +0000 <tesla_kobe> @mat2ate7 @Kyop_3 @pluteus871 おめでとう🎊㊗️㊗️🍾
",Text,Positive Emojis,Negative Emojis,Sentiment Score,Sentiment
"1623648779978125313 2023-02-09 11:43:29 +0000 <SunFunFamily> @PeterBr70087641 @Tryng2lookahead @EvasTeslaSPlaid @Tesla @elonmusk Mark sold his house because he thinks he can time the RE market. He can’t even chart a simple stock. Greater fool is a reference to a RE blog which has been wrong for 14 years.
",sunfunfamily mark sold his house because he thinks he can time the re market he can’t even chart a simple stock greater fool is a reference to a re blog which has been wrong for years,0,0,-0.5423,negative
"1623999359640801281 2023-02-10 10:56:34 +0000 <TeslaFala> @Zerosumgame33 @bradsferguson What a pathetic coward   No wonder no OG bulls took you seriously lol  @MatchasmMatt @WR4NYGov
",teslafala what a pathetic coward no wonder no og bulls took you seriously lol,0,0,-0.8402,negative
"1623990979123466241 2023-02-10 10:23:16 +0000 <Moses_omollo23> @FabrizioRomano Oooh Thiago Silva 🎶
",mosesomollo oooh thiago silva 🎶,0,0,0.0,neutral
"1623711734069624832 2023-02-09 15:53:39 +0000 <Johnkim26391993> 🇹🇭@Tesla Thailand가 내일 방콕에서 첫 배송을 시작합니다.
",johnkim 🇹🇭 thailand가 내일 방콕에서 첫 배송을 시작합니다,0,0,0.0,neutral
"1623708099121905664 2023-02-09 15:39:12 +0000 <Informedios> 🧰 Tesla realmente era un «científico loco» arquetípico. Aquí están representados los dos lados de uno de los pensadores más complejos de nuestro tiempo  https://t.co/BP6WCrF9Lv
",informedios 🧰 tesla realmente era un «científico loco» arquetípico aquí están representados los dos lados de uno de los pensadores más complejos de nuestro tiempo,0,0,0.0,neutral
"1623713723687792640 2023-02-09 16:01:33 +0000 <free_musick> I’m envisioning a future of Musk Twitter in which you can be tracked down by Tesla terminator robocops for doing banter, and promptly eliminated due to your 23andme profile indicating incongruence between gender identity and biological sex
",freemusick i’m envisioning a future of musk twitter in which you can be tracked down by tesla terminator robocops for doing banter and promptly eliminated due to your andme profile indicating incongruence between gender identity and biological sex,0,0,0.0,neutral
"1624013989557714944 2023-02-10 11:54:42 +0000 <tesla_kobe> @Kyop_3 すまん。わからん。
",teslakobe すまん。わからん。,0,0,0.0,neutral
"1624005513649262592 2023-02-10 11:21:01 +0000 <iktwiet> RT @stux@mstdn.social I also told my parents in law they could hack their Tesla and unlock every feature since it's build in already only they cannot access it since they don't have the 'licence' 🤔   Hack the sh*t out of it :flan_hacker:  https://t.co/SrAsPUOFh2
",iktwiet rt social i also told my parents in law they could hack their tesla and unlock every feature since its build in already only they cannot access it since they dont have the licence 🤔 hack the sht out of it flanhacker,0,0,0.0,neutral
"1624014747367624704 2023-02-10 11:57:43 +0000 <ChichoTom1> @DrFernandoAmad1 @MelnykAndrij Show me the same with the USA :)
",chichotom show me the same with the usa,0,0,0.0,neutral
"1624010207037906944 2023-02-10 11:39:40 +0000 <and_tesla> @TeslAquarius あぁうちもこの前テスラで充電出来ない事がありました。（その後すぐリーフで充電を確認） そのまま放置するとテスラ側でバッテリー低下のアラートが出るというオマケ付き その時は設置直後の充電試験でにやってみただけなので特に追及しなかったのですが・・  もしかしたら出来ないかも・・
",andtesla あぁうちもこの前テスラで充電出来ない事がありました。（その後すぐリーフで充電を確認） そのまま放置するとテスラ側でバッテリー低下のアラートが出るというオマケ付き その時は設置直後の充電試験でにやってみただけなので特に追及しなかったのですが・・ もしかしたら出来ないかも・・,0,0,0.0,neutral
"1623985683361669120 2023-02-10 10:02:13 +0000 <tvotesla> @SnyderVerse18 LMAO LMAO LMAO LMAO GOOD JOKE MAN LMAO
",tvotesla lmao lmao lmao lmao good joke man lmao,0,0,0.9766,positive
"1624011426124939265 2023-02-10 11:44:31 +0000 <Tesla159> 서민 교수가 밝히는 '천공 관저 개입설'의 근원 [빨대왕 클립] ㅣ 빨대포스트   https://t.co/LZ5bjZ68bP  https://t.co/6AC8axuskc
",tesla 서민 교수가 밝히는 천공 관저 개입설의 근원 빨대왕 클립 ㅣ 빨대포스트,0,0,0.0,neutral
"1623634055672614912 2023-02-09 10:44:59 +0000 <IanECox> @coldtusker @AndrewMusembi8 @Tesla @Ford @WillKnocker However, more than a year before that it was reported that Ford had paid the principle down to $1.26B of the $5.9B ATVM loan.   That's a pretty key point one would think a Musk propagandist should mention a year later.    https://t.co/w2n3eopdKE  https://t.co/42sKd3jxlT
",ianecox however more than a year before that it was reported that ford had paid the principle down to b of the b atvm loan thats a pretty key point one would think a musk propagandist should mention a year later,0,0,0.4939,positive
"1622951677342138372 2023-02-07 13:33:27 +0000 <vaibhav__iyc> Bill Gates - Microsoft Elon Musk - Tesla Gautam Adani - PM Modi #ModiJPCseDaroMat   https://t.co/kxDOeieEwD  https://t.co/rfsApiDJnR
",vaibhaviyc bill gates microsoft elon musk tesla gautam adani pm modi modijpcsedaromat,0,0,0.0,neutral
"1622923679880605697 2023-02-07 11:42:12 +0000 <Arsalankhalid02> Bill Gates - Microsoft Elon Musk - Tesla Gautam Adani - PM Modi  #ModiJPCseDaroMat  https://t.co/mXXOoYbrer
",arsalankhalid bill gates microsoft elon musk tesla gautam adani pm modi modijpcsedaromat,0,0,0.0,neutral
"1622961701065838594 2023-02-07 14:13:17 +0000 <NeoInformes> ⏰ Las predicciones que hizo Nikola Tesla para el futuro  https://t.co/Ntp0S4JM4H
",neoinformes ⏰ las predicciones que hizo nikola tesla para el futuro,0,0,0.0,neutral
"1623657532194430976 2023-02-09 12:18:16 +0000 <IanECox> @coldtusker @AndrewMusembi8 @Tesla @Ford @WillKnocker That doesn't detract from the point I made that you're avoiding.   Also:  Tesla ATVM loan $528M Ford ATVM loan $5.6B  Big whopping deal Ford took longer.  More interest for the taxpayer.   No one suffered. lol
",ianecox that doesnt detract from the point i made that youre avoiding also tesla atvm loan m ford atvm loan b big whopping deal ford took longer more interest for the taxpayer no one suffered lol,0,0,-0.1796,negative
"1623692853607120897 2023-02-09 14:38:37 +0000 <UltraTextual> 🧰 Nikola Tesla vs. Thomas Edison: ¿Quién es el mejor inventor?  https://t.co/gXxvFcn95V
",ultratextual 🧰 nikola tesla vs thomas edison ¿quién es el mejor inventor,0,0,0.0,neutral
"1622986437367832578 2023-02-07 15:51:34 +0000 <KMatraBeXcourtt> @YangDailyCast @Tesla @elonmusk I wanted her to go to Catholic school. My choice, wouldn’t wish that on anyone.Could not use education, experience waited tables Friday nights, double Saturdays and Sunday’s. Went to work during week.-20 hours a week of drive time.Offered dream job waited 6 years 4 couldn’t take
",kmatrabexcourtt i wanted her to go to catholic school my choice wouldn’t wish that on anyonecould not use education experience waited tables friday nights double saturdays and sunday’s went to work during week hours a week of drive timeoffered dream job waited years couldn’t take,0,0,0.5719,positive
"1623703428399595522 2023-02-09 15:20:38 +0000 <MKucala> @zerohedge Tesla (TSLA) Continues to Surge, Now Up 5.7%  https://t.co/pEUDk7Qf83 via @Street_Insider
",mkucala tesla tsla continues to surge now up via,0,0,0.0,neutral
"1623999034653384704 2023-02-10 10:55:16 +0000 <NikolaTesla102> Report: San Francisco Considers Red Light District  https://t.co/8nrtDOER20 via @BreitbartNews
",nikolatesla report san francisco considers red light district via,0,0,0.0,neutral
"1623688629473226755 2023-02-09 14:21:50 +0000 <Vlado51919672> @DrBranimir @PetarLoncar4 Nestorović kaže da su marsovci spavali sa nasim ženama i da otuda dolaze zelene i plave oči. Zaboravili su nakon povratka oružje koje je pronašao Tesla😀
",vlado nestorović kaže da su marsovci spavali sa nasim ženama i da otuda dolaze zelene i plave oči zaboravili su nakon povratka oružje koje je pronašao tesla😀,0,0,0.0,neutral
"1623636113360400384 2023-02-09 10:53:09 +0000 <Jeffery17990418> #Trump24 #byeAOC #Tesla #whereishunterbiden #joebidenstoptouchingkids #TrumptosaveTheUsa #Elonmusk  https://t.co/7Ic3MOfTaK
",jeffery trump byeaoc tesla whereishunterbiden joebidenstoptouchingkids trumptosavetheusa elonmusk,0,0,0.0,neutral
"1623985877604241409 2023-02-10 10:03:00 +0000 <MyAccou26337721> @RyanZohoury @elonmusk @Tesla No not for me
",myaccou no not for me,0,0,-0.296,negative
"1622962167292243968 2023-02-07 14:15:08 +0000 <bullishtesla> @ValueAnalyst1 Love this table. It's a nice reminder that Tesla is an innovative company that disrupts everything in its path.
",bullishtesla love this table its a nice reminder that tesla is an innovative company that disrupts everything in its path,0,0,0.872,positive
"1622973187075223556 2023-02-07 14:58:55 +0000 <DJAMNEWS> Ron Baron, who runs one of the best-performing funds, says Tesla could hit $1,500 a share by 2030.
",djamnews ron baron who runs one of the bestperforming funds says tesla could hit a share by,0,0,0.296,positive
"1624014380093276162 2023-02-10 11:56:15 +0000 <TeslaTunnel> @TimonkeynDood @Evan_Sorens3n @realMeetKevin @elonmusk @Keubiko Thank you.  Watch the video. He should NEVER have gotten behind the wheel.   https://t.co/9LAishBS1j
",teslatunnel thank you watch the video he should never have gotten behind the wheel,0,0,0.3612,positive
"1624014340885221377 2023-02-10 11:56:06 +0000 <tesla_kobe> @Kyop_3 そうだぞ。見たことないぞ。
",teslakobe そうだぞ。見たことないぞ。,0,0,0.0,neutral
"1624013855650185216 2023-02-10 11:54:10 +0000 <TESLA_CREADOR> @NunezFeijoo Felicidades por defraudar a hacienda.
",teslacreador felicidades por defraudar a hacienda,0,0,0.0,neutral
"1624015380581875712 2023-02-10 12:00:14 +0000 <TeslaChilean> @WhaleChart SEC IS PURE CORRUPTION
",teslachilean sec is pure corruption,0,0,0.0,neutral
"1622943069837619201 2023-02-07 12:59:15 +0000 <meonard> @chuckhuz @ACTBrigitte One conspicuous omission...the graceful um disgraceful exit from Aftganistan. What a joke of a leader. How about the EV summit where he didn't invite Tesla and Championed GM for their leadership. Those guys were getting bailed out while @elonmusk  was changing the world.
",meonard one conspicuous omissionthe graceful um disgraceful exit from aftganistan what a joke of a leader how about the ev summit where he didnt invite tesla and championed gm for their leadership those guys were getting bailed out while was changing the world,0,0,0.7146,positive
"1623301693411655681 2023-02-08 12:44:17 +0000 <Dreadful4Tymes> The “self proclaimed special needs” is currently in school studying to become an evolutionary biologist. This self proclaimed special needs enjoys the work of other self proclaimed special needs ppl like Albert Einstein, Nicola Tesla, Isaac Newton the list goes on.
",dreadfultymes the “self proclaimed special needs” is currently in school studying to become an evolutionary biologist this self proclaimed special needs enjoys the work of other self proclaimed special needs ppl like albert einstein nicola tesla isaac newton the list goes on,0,0,0.9169,positive
"1624005994836791297 2023-02-10 11:22:56 +0000 <toshiki_tesla> おいしすぎて写真撮る間も無く食べちゃった
",toshikitesla おいしすぎて写真撮る間も無く食べちゃった,0,0,0.0,neutral
"1623656601147043846 2023-02-09 12:14:34 +0000 <HorzaEdeo> if this is anything near true and elon thinks it'll make people shell out $8 to him, he is sadly mistaken  business genius *waits for tesla shares to tank again*
",horzaedeo if this is anything near true and elon thinks itll make people shell out to him he is sadly mistaken business genius waits for tesla shares to tank again,0,0,-0.0772,negative
"1622970601421017178 2023-02-07 14:48:39 +0000 <madmanx89> Come on tesla... release the heat pump.  They are really the only ones in North American that could push these given resistance from local HVAC contractors and most units being emergency repairs.  https://t.co/MN4fY7mjDm
",madmanx come on tesla release the heat pump they are really the only ones in north american that could push these given resistance from local hvac contractors and most units being emergency repairs,0,0,-0.4336,negative
"1623992843088830464 2023-02-10 10:30:40 +0000 <TeslaRoadster23> @FabrizioRomano Best cb in the premier league and even in the world
",teslaroadster best cb in the premier league and even in the world,0,0,0.6369,positive
"1623996902105554945 2023-02-10 10:46:48 +0000 <Tesla___fan> @alex_avoigt why are they still buying from such a brand 🤨
",teslafan why are they still buying from such a brand 🤨,0,0,0.0,neutral
"1622959945040945155 2023-02-07 14:06:18 +0000 <JoshWest247> 🥊In this video I hit back hard at those awful dealerships and their shady service practices and contrast it with Tesla’s philosophy on service.    https://t.co/BZgZ2fanqI  🔧How has your vehicle service experience been?   #RIPlegacyauto #Tesla #TeslaService #Dealershipservice
",joshwest 🥊in this video i hit back hard at those awful dealerships and their shady service practices and contrast it with tesla’s philosophy on service 🔧how has your vehicle service experience been riplegacyauto tesla teslaservice dealershipservice,0,0,-0.5267,negative
"1624001431375122433 2023-02-10 11:04:48 +0000 <MichalTeslaEu> @berooshka dat pozornost na dech
",michalteslaeu dat pozornost na dech,0,0,0.0,neutral
"1623639526542278658 2023-02-09 11:06:43 +0000 <bmh_2_24_2022> @EHunterChristie by the way Tesla has risen somewhat a good time to get rid of this share before it crashes again
",bmh by the way tesla has risen somewhat a good time to get rid of this share before it crashes again,0,0,0.6258,positive
"1624009570585550848 2023-02-10 11:37:08 +0000 <BestTrader01> @TeslaPhonatic Good Luck! Are you Short?!
",besttrader good luck are you short,0,0,0.7096,positive
"1623997781403742220 2023-02-10 10:50:18 +0000 <KimKukich>  https://t.co/FsgyQ14r6X
",kimkukich,0,0,0.0,neutral
"1623985937041752065 2023-02-10 10:03:14 +0000 <AUS_TeslaAddict> @hikingskiing Yep
",austeslaaddict yep,0,0,0.296,positive
"1624008124226240512 2023-02-10 11:31:24 +0000 <north_tesla> @fleurknee 毎年これくらいでいいですw
",northtesla 毎年これくらいでいいですw,0,0,0.0,neutral
"1623634380987006977 2023-02-09 10:46:16 +0000 <Jeffery17990418> #kidrock #Trump24 #Bidenlies #Elonmusk #Tesla #spacex  https://t.co/rshmX1gRjK
",jeffery kidrock trump bidenlies elonmusk tesla spacex,0,0,0.0,neutral
"1622924340626096128 2023-02-07 11:44:49 +0000 <KhanShahrukhIYC> Bill Gates - Microsoft Elon Musk - Tesla Gautam Adani - PM Modi  #ModiJPCseDaroMat  https://t.co/K8PBI8J1Xb
",khanshahrukhiyc bill gates microsoft elon musk tesla gautam adani pm modi modijpcsedaromat,0,0,0.0,neutral
"1624012182911438850 2023-02-10 11:47:31 +0000 <mafgatania> I want to know WTF was handed to Jill that was in that black case???? #sotu2023 #BidenCrimeFamilyExposed  DIG INTO IT!!!!  @fedupguy4usa  https://t.co/BIKEnmItx5
",mafgatania i want to know wtf was handed to jill that was in that black case sotu bidencrimefamilyexposed dig into it,0,0,-0.5423,negative
"1624001077098995713 2023-02-10 11:03:23 +0000 <TeslaFan2001> @BenjaminNorton I highly doubt Pakistan will ever go against China.
",teslafan i highly doubt pakistan will ever go against china,0,0,-0.4201,negative
"1623985293761327105 2023-02-10 10:00:40 +0000 <Jasonfaust8> Really enjoy all the Tesla content on twitter. Love to hear the fans on my sports teams also. This is my favorite space to use, I really don’t even enjoy watching reels on ig anymore, just a waste of my time watching girls with bbl’s lift weights. I come to Twitter for sports…
",jasonfaust really enjoy all the tesla content on twitter love to hear the fans on my sports teams also this is my favorite space to use i really don’t even enjoy watching reels on ig anymore just a waste of my time watching girls with bbl’s lift weights i come to twitter for sports…,0,0,0.9079,positive
"1623643769600978947 2023-02-09 11:23:35 +0000 <Metzinho97> L’autre là faut qu’il retourne à faire des Tesla
",metzinho l’autre là faut qu’il retourne à faire des tesla,0,0,0.0,neutral
"1623987320390053889 2023-02-10 10:08:44 +0000 <TeslaPittsburgh> Ladies and gentlemen, THE WEEKEND. #TGIF  https://t.co/S3y29WpJg4
",teslapittsburgh ladies and gentlemen the weekend tgif,0,0,0.5106,positive
"1624009170369548288 2023-02-10 11:35:33 +0000 <tesla_shonan> @ritten_JBN 懐かしい名前😂
",teslashonan 懐かしい名前😂,1,0,1.0,positive
"1623985972474966016 2023-02-10 10:03:22 +0000 <CozyTesla> @ransfordgenesis No make tweet spoil my chances shaa😂😂
",cozytesla no make tweet spoil my chances shaa😂😂,2,0,1.8973,positive
"1622937241395027974 2023-02-07 12:36:05 +0000 <FatteramNsui> Bill Gates - Microsoft Elon Musk - Tesla Gautam Adani - PM Modi  #ModiJPCseDaroMat   @gautam_adani @narendramodi
",fatteramnsui bill gates microsoft elon musk tesla gautam adani pm modi modijpcsedaromat,0,0,0.0,neutral
"1623689790003585025 2023-02-09 14:26:27 +0000 <RepartoDigital> 🧰 Las predicciones que hizo Nikola Tesla para el futuro  https://t.co/0Gwv0tnOmi
",repartodigital 🧰 las predicciones que hizo nikola tesla para el futuro,0,0,0.0,neutral
"1623998912041308162 2023-02-10 10:54:47 +0000 <dodo938> @LydiaHislop So it's OK to set up, plucking an example at random, @EIonmusk and then Tweet ""Buy Tesla"", which presumably is in line with his thinking, is it? Shall we try?
",dodo so its ok to set up plucking an example at random and then tweet buy tesla which presumably is in line with his thinking is it shall we try,0,0,0.3566,positive
"1624016381971775490 2023-02-10 12:04:12 +0000 <gold_tesla> @iamshackelford Did people say anything about you that made you question your own behaviour? I've been there and it's an eye opener for sure.
",goldtesla did people say anything about you that made you question your own behaviour ive been there and its an eye opener for sure,0,0,0.3182,positive
"1623661786174988290 2023-02-09 12:35:10 +0000 <IanECox> @coldtusker @AndrewMusembi8 @Tesla @Ford @WillKnocker Cash for Clunkers was paid to the consumer.   They take car to junkyard and get cut a check.   They go spend check at Tesla or GM or whoever.   Free market yo.
",ianecox cash for clunkers was paid to the consumer they take car to junkyard and get cut a check they go spend check at tesla or gm or whoever free market yo,0,0,0.296,positive
"1624016201474101249 2023-02-10 12:03:29 +0000 <TeslaTechnics> A means of quantifying your entitlement to civilisation’s produce and services.
",teslatechnics a means of quantifying your entitlement to civilisation’s produce and services,0,0,0.0,neutral
"1624014612189380608 2023-02-10 11:57:10 +0000 <TeslaOwls> @Nulllpunkt @TeslaStars @AndreiBulu It's a safe car Don't think for a second that just because it ranks lower than 50k€ cars it's somehow worse in safety than a 20k€ second hand car   https://t.co/KcVadrTMZh
",teslaowls its a safe car dont think for a second that just because it ranks lower than k€ cars its somehow worse in safety than a k€ second hand car,0,0,0.5574,positive
"1622917023033602048 2023-02-07 11:15:45 +0000 <BCGameOfficial> 🥂 Join us in celebrating Andy’s excitement as he became the lucky winner of our Mega🎉giveaway!   He now has a shiny🌟and stylish Tesla 🚘 parked proudly in his driveway.  This could be you too! 🥳 Keep playing with #BCGAME and let your dreams come true!   https://t.co/5LJC3ShPFK  https://t.co/bhbXLy9PSr
",bcgameofficial 🥂 join us in celebrating andy’s excitement as he became the lucky winner of our mega🎉giveaway he now has a shiny🌟and stylish tesla 🚘 parked proudly in his driveway this could be you too 🥳 keep playing with bcgame and let your dreams come true,3,0,3.9766,positive
"1623988156440756225 2023-02-10 10:12:03 +0000 <Nikomariachi> gm  https://t.co/rACfQK60zm
",nikomariachi gm,0,0,0.0,neutral
"1623300632043048963 2023-02-08 12:40:04 +0000 <hikingskiing> I think that it is important that whatever Tesla does is non-cookie-cutter. They are the non-cookie-cutter company.
",hikingskiing i think that it is important that whatever tesla does is noncookiecutter they are the noncookiecutter company,0,0,0.2023,positive
